file,chunk_id,cluster,is_rep,snippet,umap_x,umap_y
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,0,3,False,Peer review status: This is a non-peer-reviewed preprint submitted to EarthArXiv. This paper is a non-peer reviewed preprint submitted to EarthArXiv. This paper has been submitted to AMS Journal of Ap,12.556926,5.70598
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,1,17,False,"ethodeliminatestheneedforspectraltransformationwhileenablingrigorous15 uncertaintyquantification. WeappliedtheBayesianalgorithmtopredictthreekeytraits:16 carotenoidcontent(Car A),nitrogenpercentagemas",12.516686,5.693547
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,2,17,False,"lorphysically-basedestimation40 methods(JacquemoudandUstin2019;AngelandShiklomanov2022). Todate,theempirical41 2 approachhasbeenthedominantmethodofpredictingtraitsusingspectradueto(a)easeof42 applicat",12.524766,5.6997004
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,3,18,False,"sthatmightexistincertaintraits(Shiklomanov,Cowdery,etal. 2020);65 consequently,itischallengedbythevariabilityoftherelationshipbetweentraitsandspectra66 acrossspecies,functionaltypes,andbiomes. Thislim",12.548697,5.6818824
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,4,17,False,dictionsarisingfromthe90 Bayesianmodel(whichaccountsformeasurementerror)ratherthandirectlyusingthenoisytrait91 observationsforvariableselection. Paststudieshavedemonstratedthatevenwhenthetrueerror92 s,12.546048,5.7665343
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,5,17,False,"itsaredifferentacrossstudyareas,thetraitsareconvertedto117 commonunits;Car A : μg cm−2,NM : (mg g−1)andLMA: g/m2. Theobservationsusedfor118 5 trainingthemodelsspanawiderangeofclimaticzonesandbiomes(Fi",12.4283085,5.779242
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.pdf,6,18,False,"ariance σ2:141 yi = μ(xi) +εi = βT xi + εi, ε ∼ N(0, σ2), i = 1, ..., n (1) Here,β denotesthevectorofcorrespondingregressioncoefficientsfor xi,n isthenumberof142 observations,andthelengthof xi isthenu",12.051572,4.6382833
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.txt,0,11,False,"title: A Bayesian Approach to Hyperspectral Leaf Trait Prediction with uncertainty quantification authors: Dhruva Kathuria, Yoseline Angel, Evan Lang, Alexey Shiklomanov published: 2025-9-13 doi: 10.3",12.57114,5.679413
test_data\A_Bayesian_Approach_to_Hyperspectral_Leaf_Trait_Prediction_with_uncertainty_quan.txt,1,15,False,ait prediction models with rigorous uncertainty quantification.</jats:p> pdf_url: https://eartharxiv.org/repository/object/10196/download/18864/,12.491565,4.676909
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,0,7,False,"e-ISSN: 2582-5208 International Research Journal of Modernization in Engineering Technology and Science ( Peer-Reviewed, Open Access, Fully Refereed International Journal ) Volume:05/Issue:05/May-2023",14.014479,11.634632
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,1,7,False,entify patterns and predict outcomes. The Cleveland heart disease dataset is a widely used dataset for heart disease prediction. The objective of this study is to compare the performance of three clas,13.815166,11.61825
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,2,7,False,"nt thresholds at different levels. In this study, an inventory classification policy is provided. At each level, the loss profit of frequent items is determined[2]. The obtained loss profit is used to",13.911976,11.680182
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,3,7,False,data distribution and XGBoost to predict heart disease. The amount of data in the healthcare industry is huge. Data mining turns the large collection of raw healthcare data into information that can h,13.816198,11.747531
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,4,7,False,"ographic results, maximum heart rate achieved, exercise -induced angina, ST depression induced by exercise, slope of the peak exercise ST segment, number of major vessels (0 -3) colored by fluoroscopy",13.573556,11.564073
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,5,7,False,e 10 folds. IV. USE CASE DIAGRAM Fig.1: Visualization Of Data Fig.2: V. RESULT AND DISCUSSION The focus of our study was on using data mining techniques in healthcare for heart disease. We performed s,13.889633,11.66597
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,6,7,False,easuring weight can be further explored for use with other datasets to cater to other prediction models using the weighted approach. Heart stroke and vascular disease are the major cause of disability,13.869988,11.726235
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.pdf,7,9,False,"ed from https://www.cabdirect.org/cabdirect/abstract/19927112348 [6] Domingos, P., Pazzani, M. On the Optimality of the Simple Bayesian Classifier under Zero-One Loss. Machine Learning, 29, 103-137. R",13.819347,4.15341
test_data\A_COMPARATIVE_ANALYTICS_OF_SVM_DT_NB_CLASSIFIER_FOR_HEART_DISEASE_PREDICTION_IN_.txt,0,7,False,title: A COMPARATIVE ANALYTICS OF SVM DT NB CLASSIFIER FOR HEART DISEASE PREDICTION IN ML ALGORITHMS authors: published: 2023-5-15 doi: 10.56726/irjmets39195 abstract: pdf_url: https://doi.org/10.5672,14.314791,11.609297
